0.415,0.21,0.682,0.015,0.006,0.886,0.016,0.013,839.5,1012,15.25,53.5,937.5649,1077.7257,14.191552,53.891068,900.37036,1071.4169,14.339618,54.565556
0.396,0.22,0.686,0.012,0.004,0.881,0.014,0.02,876,1028,14.75,57.5,933.111,1073.8932,14.102855,53.348602,989.0981,1096.9768,13.699323,52.766304
0.405,0.188,0.669,0.008,0.007,0.887,0.014,0.013,883.5,1026.5,15.25,58.5,931.024,1071.0962,14.014222,53.406315,910.07294,1033.2571,14.030055,51.999207
0.399,0.256,0.679,0.01,0.005,0.882,0.013,0.013,915.25,1053,13.875,54.75,930.0705,1072.0936,14.051803,53.46054,992.5655,1137.8148,14.25524,53.18127
0.399,0.215,0.711,0.014,0.005,0.906,0.014,0.018,896.5,1027.5,14.5,54,934.29425,1074.6382,14.167245,53.638653,933.0541,1085.6951,13.7481575,52.954853
0.41,0.216,0.704,0.016,0.004,0.906,0.019,0.028,963,1088.5,14.25,51.5,941.95557,1080.0791,14.256007,53.46215,958.9796,1082.3352,14.154665,52.776768
0.412,0.19,0.686,0.01,0.004,0.887,0.017,0.021,872.5,994,15.625,51,936.6216,1076.4393,14.089304,53.282738,915.9111,1043.2246,14.329481,53.12552
0.393,0.212,0.685,0.012,0.005,0.904,0.01,0.019,909,1040,14.75,55,928.0099,1068.9164,14.071392,53.283047,923.46594,1059.9103,14.2644615,53.215343
0.429,0.195,0.673,0.009,0.005,0.899,0.016,0.014,1004.25,1130.25,14,50,935.0544,1075.6451,14.058484,53.439896,922.1071,1080.3972,13.807376,52.174343
0.417,0.187,0.659,0.008,0.006,0.865,0.016,0.016,918.75,1039.25,13.25,54.25,933.5967,1073.521,14.022385,53.29045,981.89136,1140.068,14.453969,52.63
0.404,0.207,0.698,0.015,0.003,0.908,0.011,0.013,1037,1221.5,13.75,53,932.3492,1074.9285,14.146815,53.735115,863.0343,1009.77966,13.704041,58.14445
0.399,0.217,0.692,0.012,0.004,0.895,0.035,0.017,957,1094.25,14.25,57,961.9986,1098.6259,14.307755,54.163437,916.042,1061.9575,14.679801,57.193356
0.402,0.212,0.71,0.018,0.004,0.913,0.017,0.015,917.5,1046,15.25,58,941.5145,1081.8733,14.279597,54.077805,976.71155,1096.737,14.25262,53.97845
0.399,0.22,0.7,0.0151,0.004,0.949,0.014,0.014,914.25,1069.25,14.75,54.5,936.5416,1077.4514,14.192168,53.819817,908.12256,1045.1113,15.217701,52.061714
0.391,0.245,0.726,0.018,0.004,0.929,0.015,0.017,925.1667,1067.6667,14.0833,54,938.14655,1078.8448,14.2749,53.971405,946.113,1084.4199,13.919531,54.114452
0.403,0.232,0.709,0.009,0.005,0.924,0.018,0.014,932.5,1069.75,13.875,55,937.12213,1077.5168,14.101672,53.61298,981.98596,1114.8016,14.382635,54.8484
0.391,0.217,0.702,0.0151,0.003,0.902,0.013,0.02,1034.5,1132.5,13.5,49.5,934.2639,1075.4291,14.169589,53.537403,908.8834,1046.9019,14.4773035,54.1972
0.395,0.225,0.698,0.015,0.003,0.904,0.01,0.01,938.5,1052,14.25,51.5,930.7898,1074.2329,14.135912,53.825832,939.062,1085.132,13.42395,54.606964
