0.456,0.207,0.582,0.023,0.01,0.07,0.011,0.018,387.5,645,23.5,47,410.00604,663.4446,24.523848,48.47552,413.36548,656.1238,25.286442,48.14874
0.438,0.227,0.617,0.016,0.007,0.068,0.009,0.013,393.5,630.5,24.75,49.5,411.25525,661.6875,24.482393,48.59411,417.9501,654.86005,23.79065,47.83343
0.449,0.216,0.592,0.013,0.001,0.075,0.008,0.014,421,660,24.5,49.5,411.88513,653.0635,24.561747,48.122288,427.29935,671.44354,24.322214,48.209106
0.46,0.224,0.646,0.016,0.005,0.063,0.017,0.015,410.75,663.75,24.25,49.25,408.62585,655.6696,24.494528,48.172535,407.85983,668.0322,24.275465,49.60543
0.45,0.221,0.601,0.018,0.008,0.052,0.017,0.036,404.25,648.25,24,46.75,408.64294,658.9346,24.478071,48.38612,410.09116,644.85785,24.89842,47.831875
0.436,0.217,0.649,0.009,0.005,0.049,0.016,0.025,392.25,649,25.25,43,408.7405,653.8386,24.364573,48.050785,407.75952,659.53485,24.39294,49.030594
0.452,0.222,0.601,0.018,0.003,0.05,0.014,0.015,398.5,630.5,25.5,50.5,410.00446,653.95374,24.575739,48.185898,403.24112,641.4979,24.630978,48.288555
0.292,0.199,1.606,0.016,0.004,0.053,0.016,0.017,404.5,649.5,24.5,45.5,413.6033,668.5753,24.42091,48.74133,406.46057,645.5453,24.975803,50.48965
0.447,0.216,0.602,0.016,0.002,0.077,0.012,0.015,421,647,25.5,49.5,410.70386,652.6431,24.563025,48.099182,411.52274,654.0762,23.93139,46.878155
0.453,0.2,0.597,0.018,0.005,0.052,0.009,0.018,414.5,661.5,24.5,47,410.94238,657.15265,24.54941,48.140553,416.35217,653.1196,24.86365,47.95963
0.455,0.209,0.63,0.015,0.004,0.072,0.017,0.024,408.25,667,25.25,49.5,408.61447,652.4595,24.486465,47.933926,411.3409,662.8448,24.562653,48.261013
0.464,0.217,0.634,0.015,0.005,0.028,0.011,0.011,398.5,651.5,24.25,48.5,410.13266,658.2124,24.511913,48.224174,400.1556,654.1672,24.721218,48.18212
0.451,0.233,0.659,0.0086,0.004,0.038,0.016,0.025,409.5,650.5,24.25,49.5,409.00024,655.0571,24.416212,48.21375,416.14685,670.9784,24.842087,48.462345
